Sample,exp_start,exp_start_value,exp_end_1,exp_end_value_1,exp_end_2,exp_end_value_2,exp_end_3,exp_end_value_3,exponential_coef_simple,exponential_Y0,exponential_r,log_start_position,log_end_position,log_theoretical_K,log_b,log_theoretical_r,mean_4points_afterK,mean_9points_afterK,position_K,K,mean_window_K,decrease_start,decrease_end,decrease_rate,steady_start,steady_end,steady_rate,mean_steady,mean_steady_sd,rise_start,rise_end,rise_rate
0104L1,90.1,0.054333333,240.1,0.438944444,270.1,0.470222222,300.1,0.495444444,0.41784699,0.026775365,0.011877851,2,15,0.551028778,4.372055619,-0.023308664,0.490288889,0.524194444,14,0.566472222,0.556157407,540.1,5670.1,-4.76E-05,5700.1,9930.1,-2.57E-05,0.363197183,0.016959303,0,0,0
0104L1,90.1,0.076333333,210.1,0.365833333,240.1,0.434944444,270.1,0.470222222,0.391767036,0.025243557,0.012830869,3,16,0.560108312,3.696042811,-0.020030831,0.454277777,0.506327778,15,0.574111111,0.566351852,540.1,3780.1,-6.95E-05,3810.1,9930.1,-2.52E-05,0.377595257,0.023020089,0,0,0
0104L1,90.1,0.054333333,240.1,0.426944444,270.1,0.459222222,300.1,0.491444444,0.412303198,0.026171674,0.011856828,2,16,0.554559479,4.21962541,-0.022034451,0.483288889,0.520994444,15,0.569111111,0.563685185,540.1,5670.1,-4.76E-05,5700.1,9930.1,-2.54E-05,0.360645442,0.016821907,0,0,0
0105L1,120.1,0.054055556,300.1,0.492444444,330.1,0.547944444,360.1,0.585888889,0.36822822,0.028155365,0.009800077,3,15,0.627106911,4.882768664,-0.020884501,0.569972222,0.567472222,14,0.621472222,0.603157407,510.1,5670.1,-4.93E-05,5700.1,9930.1,-1.60E-05,0.366471831,0.011692789,0,0,0
0105L1,120.1,0.047055556,270.1,0.456222222,300.1,0.496444444,330.1,0.531944444,0.454330215,0.01555896,0.012676156,4,15,0.612328917,5.164629434,-0.022621896,0.537594444,0.556005555,14,0.621472222,0.601824074,510.1,5670.1,-4.90E-05,5700.1,9930.1,-1.81E-05,0.364705888,0.012994145,0,0,0
0105L1,120.1,0.043055556,300.1,0.472444444,330.1,0.520944444,360.1,0.562888889,0.399238147,0.024847174,0.010116174,3,15,0.608214053,5.090294303,-0.021590976,0.552172222,0.552372222,14,0.611472222,0.589157407,510.1,5730.1,-4.90E-05,5760.1,9930.1,-1.63E-05,0.345272024,0.011496102,0,0,0
0105L1,120.1,0.055055556,300.1,0.500444444,330.1,0.540944444,360.1,0.583888889,0.367858968,0.027816772,0.00990477,3,15,0.632603339,4.90806992,-0.021001856,0.574572222,0.574872222,14,0.632472222,0.610490741,510.1,5670.1,-5.10E-05,5700.1,9930.1,-1.82E-05,0.366028169,0.013054015,0,0,0
0106L1,120.1,0.079055556,240.1,0.362944444,270.1,0.451222222,300.1,0.480444444,0.381024732,0.020064271,0.012145694,3,16,0.561661183,4.379711979,-0.020621891,0.461888889,0.511394444,26,0.585833333,0.575064815,810.1,3000.1,-8.33E-05,4620.1,9930.1,-2.54E-05,0.418584426,0.020664804,0,0,0
0106L1,120.1,0.072055556,270.1,0.426222222,300.1,0.457444444,330.1,0.475944444,0.355504685,0.023633171,0.010860362,3,16,0.546574701,4.468602354,-0.020535531,0.478794444,0.512905555,26,0.563833333,0.552731481,690.1,4740.1,-8.69E-05,6720.1,9930.1,-1.43E-05,0.33829874,0.00855781,0,0,0
0106L1,120.1,0.077055556,240.1,0.363944444,270.1,0.457222222,300.1,0.486444444,0.38811864,0.019776463,0.012197026,2,16,0.563599963,4.479282954,-0.021068364,0.465488889,0.513594444,26,0.586833333,0.574731481,840.1,3570.1,-6.07E-05,3600.1,9930.1,-2.55E-05,0.431847877,0.024342101,0,0,0
