Sample,exp_start,exp_start_value,exp_end_1,exp_end_value_1,exp_end_2,exp_end_value_2,exp_end_3,exp_end_value_3,exponential_coef_simple,exponential_Y0,exponential_r,log_start_position,log_end_position,log_theoretical_K,log_b,log_theoretical_r,mean_4points_afterK,mean_9points_afterK,position_K,K,mean_window_K,decrease_start,decrease_end,decrease_rate,steady_start,steady_end,steady_rate,mean_steady,mean_steady_sd,rise_start,rise_end,rise_rate
0105C1,720.1,0.10296875,960.1,0.9221875,990.1,0.98265625,1020.1,1.06971875,0.274040378,0.000783885,0.007472876,23,62,1.554156813,7.418634196,-0.007833711,1.06384375,1.16025,61,1.7541875,1.746895833,1830.1,2640.1,-0.001691198,0,0,0,0,0,0,0,0
0105C1,4500.1,0.167119452,4680.1,0.362104364,4710.1,0.399941376,4740.1,0.438046527,0.128870605,2.82E-06,0.002477044,141,172,0.719295965,34.17466953,-0.007303783,0.436875979,0.516330704,177,0.69528125,0.692666667,5280.1,6960.1,-0.000139383,10140.1,14970.1,-8.35E-06,0.497387731,0.007912461,0,0,0
0105C1,720.1,0.10396875,930.1,0.83034375,960.1,0.9001875,990.1,0.96165625,0.296821343,0.000230308,0.008889757,20,67,1.558824679,7.73006405,-0.008109001,0.9673625,1.096365625,51,1.6465,1.568979167,1740.1,2610.1,-0.001725827,12570.1,13230.1,-6.39E-05,1.201622401,0.033492986,0,0,0
0106C1,570.1,0.09228125,810.1,0.9189375,840.1,0.98503125,870.1,1.0461875,0.287297142,0.001325381,0.008181204,16,59,1.631371843,6.674033194,-0.008159247,1.047475,1.175659375,56,1.743625,1.722864583,1680.1,2250.1,-0.001662729,0,0,0,0,0,0,0,0
0106C1,540.1,0.0925625,780.1,0.8961875,810.1,0.9769375,840.1,1.03503125,0.283783195,0.001657366,0.00817998,15,55,1.40463803,7.764520939,-0.01041118,1.03604375,1.130203125,252,1.5594375,1.525302083,1590.1,2400.1,-0.001128358,0,0,0,0,0,0,0,0
0106C1,540.1,0.0845625,780.1,0.8781875,810.1,0.9649375,840.1,1.01403125,0.292546152,0.001128889,0.008636011,16,55,1.435474017,7.614536008,-0.01001212,1.01364375,1.132803125,54,1.5775625,1.564302083,1620.1,2970.1,-0.000526029,0,0,0,0,0,0,0,0
0106C1,600.1,0.0955,840.1,0.89703125,870.1,0.9681875,900.1,1.044875,0.279995557,0.001494779,0.007740418,19,59,1.580566803,6.870832367,-0.008208776,1.028925,1.164553125,58,1.6885625,1.6716875,1680.1,2490.1,-0.001884604,0,0,0,0,0,0,0,0
0107C1,3840.1,0.237698529,3930.1,0.309528605,3960.1,0.336375284,3990.1,0.362338238,0.088015774,0.00010503,0.002020086,119,151,0.634186133,20.01561031,-0.005092415,0.362194472,0.419813189,150,0.587875,0.581895833,4560.1,6870.1,-8.33E-05,9900.1,14970.1,-8.96E-06,0.337827574,0.007246827,0,0,0
0107C1,1710.1,0.18128119,2550.1,0.658073434,2580.1,0.69074108,2610.1,0.726321942,0.046045256,0.043620511,0.001056123,44,119,1.482256515,6.160439661,-0.00241798,0.726648066,0.82956587,110,1.29365625,1.27890625,3360.1,6060.1,-0.000104417,6600.1,14040.1,-2.05E-05,1.109165035,0.026067435,0,0,0
0107C1,1740.1,0.173990354,2580.1,0.620070875,2610.1,0.6616041,2640.1,0.706939833,0.045386926,0.034069374,0.001106386,44,107,2.080369902,6.001583257,-0.002046157,0.70850771,0.824258651,110,1.21665625,1.20590625,3270.1,7410.1,-0.000192475,14100.1,14970.1,-2.61E-05,0.64714375,0.009408058,0,0,0
