Sample,exp_start,exp_start_value,exp_end_1,exp_end_value_1,exp_end_2,exp_end_value_2,exp_end_3,exp_end_value_3,exponential_coef_simple,exponential_Y0,exponential_r,log_start_position,log_end_position,log_theoretical_K,log_b,log_theoretical_r,mean_4points_afterK,mean_9points_afterK,position_K,K,mean_window_K,decrease_start,decrease_end,decrease_rate,steady_start,steady_end,steady_rate,mean_steady,mean_steady_sd,rise_start,rise_end,rise_rate
0103A1,120.1,0.062166667,360.1,1.015277778,390.1,1.028277778,420.1,1.0345,0.349137321,0.06245991,0.008039985,3,17,1.066859213,5.528035053,-0.022198593,1.032022222,1.031427778,16,1.045666667,1.038851852,600.1,2160.1,-0.000114833,3330.1,7950.1,2.63E-05,0.939423656,0.020021636,0,0,0
0103A1,120.1,0.058166667,360.1,0.988277778,390.1,1.006277778,420.1,1.0095,0.354081419,0.064922122,0.007840914,2,17,1.033778164,5.490449764,-0.022300133,1.005822222,1.002327778,16,1.014666667,1.011518519,570.1,2070.1,-0.000225837,5490.1,8040.1,2.37E-05,0.828745478,0.011949866,0,0,0
0104A1,120.1,0.062166667,360.1,0.999277778,390.1,1.004277778,420.1,0.9995,0.34715173,0.065909991,0.007820613,3,17,1.034581391,5.414298648,-0.022048783,1.005222222,1.005027778,261,1.055166667,1.049296296,600.1,1380.1,-0.000131355,3330.1,5250.1,-3.17E-06,0.994876068,0.009497531,0,0,0
0104A1,120.1,0.067166667,360.1,1.020277778,390.1,1.031277778,420.1,1.0295,0.340081638,0.071495197,0.007678881,3,17,1.062867331,5.358485661,-0.021998971,1.031422222,1.030827778,261,1.077166667,1.068296296,600.1,1320.1,-0.00014708,3270.1,5250.1,6.06E-07,1.018745439,0.009739874,0,0,0
0104A1,120.1,0.067166667,360.1,1.000277778,390.1,1.014277778,420.1,1.0055,0.33760699,0.067833,0.007774067,2,19,1.038842696,5.426536296,-0.022192142,1.012822222,1.016327778,278,1.060444444,0.701685185,630.1,1380.1,-0.000135997,3300.1,5220.1,-2.72E-06,1.004151282,0.010044704,0,0,0
0104A1,120.1,0.073166667,360.1,1.038277778,390.1,1.053277778,420.1,1.0515,0.331572336,0.074820021,0.007626855,2,17,1.086815007,5.352044844,-0.022048669,1.052222222,1.052727778,18,1.062388889,1.05787037,600.1,1440.1,-0.000177803,3390.1,5280.1,-1.32E-05,0.988184028,0.012198285,0,0,0
0105A1,120.1,0.078166667,330.1,0.990111111,360.1,1.034277778,390.1,1.039277778,0.362710552,0.05964346,0.008788877,2,16,1.06991091,5.465767047,-0.023403268,1.031366667,1.032594445,15,1.0475,1.044148148,570.1,2130.1,-0.000152829,3420.1,8010.1,-1.79E-05,0.853195887,0.013126965,0,0,0
0105A1,120.1,0.083166667,360.1,1.057277778,390.1,1.067277778,420.1,1.0745,0.317825765,0.082093487,0.007452697,2,21,1.083735323,5.540253001,-0.023431457,1.067822222,1.067527778,15,1.0745,1.071814815,600.1,2190.1,-9.44E-05,3360.1,8040.1,-1.07E-05,0.954297594,0.008792439,0,0,0
0105A1,120.1,0.081166667,360.1,1.029277778,390.1,1.035277778,420.1,1.0415,0.317513499,0.070658772,0.007766956,2,19,1.065474617,5.482398383,-0.022518899,1.038022222,1.040427778,18,1.049388889,1.044203704,630.1,2160.1,-5.60E-05,2190.1,8010.1,-9.77E-06,0.989423647,0.011333875,0,0,0
0105A1,90.1,0.049666667,360.1,1.036277778,390.1,1.041277778,420.1,1.0475,0.337561832,0.068947446,0.007875508,2,17,1.084747687,5.329060739,-0.021915535,1.046822222,1.050327778,20,1.057277778,1.053777778,630.1,2190.1,-5.36E-05,3330.1,8010.1,8.79E-07,0.99418896,0.004109941,0,0,0
